1,1,5,0,1382,4,15,2,181,1,2,0,2,2,10,0,5430,1,1,2217,3,1,368,1251,0,1129,3,218,0,1,21,1,1,0,0,2,2134,2,1841,0
2,0,44,1,102,8,2,2,4,1,1,0,4,2,16,10,12,1,3,2134,1,1,786,681,11,661,1,41,12,2,16,1,2,12,0,2,17,2,9,0
2,0,1,14,767,89,4,2,245,1,3,3,45,24,48,2,1,1,1,383,1,1,1,470,3,417,2,729,3,7,312,0,0,3,1,2,3,0,0,0
0,893,0,0,4392,0,0,0,0,0,0,0,0,2,13,0,226,1,3,72,1,1,2,2,0,2,2,18,0,8,30,0,0,0,0,2,7,0,0,0
3,-1,0,0,2,0,3,0,0,1,1,0,0,4,30,0,6,1,4,1440,1,1,963,720,40,695,3,354,16,8,296,0,0,16,0,1,2,0,0,0
0,-1,0,0,12824,0,0,0,6,0,0,0,0,1,122,68,95,3,5,1052,1,1,1,936,73,869,2,490,83,5,161,0,0,78,4,5,66,0,0,0
0,1,2,0,3168,0,0,1,2,0,0,0,0,17,66,50,64,3,3,0,1,1,1,637,56,621,2,181,63,5,85,0,0,58,0,9,27,0,0,0
1,4,2,0,0,0,1,0,0,1,1,0,0,2,13,0,59,10,4,8,3,1,22,232,0,3,2,18,0,1,30,0,0,0,0,1,7,0,0,1
0,44,4,8,19010,249,28,31,141,0,1,0,8,1,22,1,1,1,1,1493,1,1,7681,928,1,679,1,226,1,1,149,0,0,1,0,1,3,0,0,0
0,35,0,1,33737,21,1,2,3,0,1,0,1,1,127,65,89,1,0,71,1,1,12,2,70,2,2,426,79,3,335,0,0,74,0,1,86,0,0,0
0,2,632,0,56770,0,0,5,65,0,0,0,2,1,18,485,253,1,1,1024,1,2,1,166,227,186,1,1443,232,5,674,1,2,220,0,2,97,3,71,0
0,6,6,6,421,109,1,7,107,0,1,0,6,1,427,0,0,2,0,2742,1,1,1,1103,0,1005,2,2010,0,3,1182,0,0,0,0,1,0,0,0,0
0,-1,0,0,1465,0,17,0,4,0,4,0,0,13,1,0,8,1,3,1,3,1,21,1,0,1,2,1110,7,1,31,0,0,7,0,1,2,0,0,1
0,2,11,5,10262,34,2,4,5,0,1,0,5,5,5,0,5055,1,0,272,16,1,292,9,0,7,3,12,0,2,2,126,3,0,0,1,133,5,1839,1
0,51,84,4,3633,26,1,4,8,0,1,0,4,3,10,0,747,6,4,2990,1,1,3341,779,0,746,3,1138,2524,4,288,1,1,0,0,8,441,2,537,0
0,2,1,18,20255,0,0,1,1306,0,0,0,20,1,261,186,96,2,1,818,8,1,1,273,194,272,22,2186,214,5,489,0,0,203,0,2,93,0,0,0
